Fixture Template,PDF Field Name,Source DocType,Source Field,Prefix,Suffix,Transformation,Webflow Field,Webflow Prefix/Suffix,Webflow Prefix,Webflow Suffix
ILL-SE02-FS,cctcode,ilL-Configured-Fixture,sku_cct_code,,,,,,,
ILL-SE02-FS,drywetcode,ilL-Configured-Fixture,sku_environment_code,,,,,,,
ILL-SE02-FS,project_location,ilL-Project,location,,,,project_location,,,
ILL-SE02-FS,fixture_type,ilL-Child-Fixture-Schedule-Line,line_id,,,,,,,
ILL-SE02-FS,project_name,ilL-Project,project_name,,,,project_name,,,
ILL-SE02-FS,productioninterval,ilL-Spec-LED Tape,cut_increment_mm,,"""""",MM_TO_INCHES,,,,
ILL-SE02-FS,dims,ilL-Spec-Profile,dimensions,,,,,,,
ILL-SE02-FS,dimming,ilL-Spec-Driver,input_protocols,,,,,,,
ILL-SE02-FS,inputvoltage,ilL-Spec-Driver,voltage_output,,,,,,,
ILL-SE02-FS,finish,ilL-Configured-Fixture,finish,,,,,,,
ILL-SE02-FS,mounting,ilL-Configured-Fixture,mounting_method,,,,,,,
ILL-SE02-FS,lens,ilL-Configured-Fixture,lens_appearance,,,,,,,
ILL-SE02-FS,cri,ilL-Rel-Tape Offering,cri,,,,,,,
ILL-SE02-FS,cct,ilL-Rel-Tape Offering,cct,,,,,,,
ILL-SE02-FS,maxrunlength,ilL-Configured-Fixture,max_run_ft_effective,,ft,,,,,
ILL-SE02-FS,wattage,ilL-Configured-Fixture,total_watts,,W,,,,,
ILL-SE02-FS,output,ilL-Configured-Fixture,estimated_delivered_output,,lm/ft,,,,,
ILL-SE02-SW,form,ilL-Configured-Fixture,sku_driver_form_code,,,,,,,
ILL-SE02-SW,maxwattoutput,ilL-Configured-Fixture,sku_driver_wattage_output_code,,,,,,,
ILL-SE02-SW,control,ilL-Configured-Fixture,sku_driver_control_code,,,,,,,
ILL-SE02-SW,endlength,ilL-Configured-Fixture,__end_length_indicator,,,MM_TO_INCHES,end_feed_length_ft,,,
ILL-SE02-SW,startlength,ilL-Configured-Fixture,__start_leader_cable_len_mm,,,MM_TO_INCHES,start_feed_length_ft,,,
ILL-SE02-SW,starttype,ilL-Configured-Fixture,sku_power_feed_code,,,,start_feed_direction,,,
ILL-SE02-SW,outputcode,ilL-Configured-Fixture,sku_fixture_output_code,,,,,,,
ILL-SE02-SW,mountingcode,ilL-Configured-Fixture,sku_mounting_code,,,,,,,
ILL-SE02-SW,lenscode,ilL-Configured-Fixture,sku_lens_code,,,,,,,
ILL-SE02-SW,length,ilL-Configured-Fixture,requested_overall_length_mm,,,MM_TO_INCHES,,,,
ILL-SE02-SW,finishcode,ilL-Configured-Fixture,sku_finish_code,,,,,,,
ILL-SE02-SW,endtype,ilL-Configured-Fixture,sku_feed_direction_end_code,,,,end_feed_direction,,,
ILL-SE02-SW,cctcode,ilL-Configured-Fixture,sku_cct_code,,,,,,,
ILL-SE02-SW,drywetcode,ilL-Configured-Fixture,sku_environment_code,,,,,,,
ILL-SE02-SW,project_location,ilL-Project,location,,,,project_location,,,
ILL-SE02-SW,fixture_type,ilL-Child-Fixture-Schedule-Line,line_id,,,,,,,
ILL-SE02-SW,project_name,ilL-Project,project_name,,,,project_name,,,
ILL-SE02-SW,productioninterval,ilL-Spec-LED Tape,cut_increment_mm,,"""""",MM_TO_INCHES,,,,
ILL-SE02-SW,dims,ilL-Spec-Profile,dimensions,,,,,,,
ILL-SE02-SW,dimming,ilL-Spec-Driver,input_protocols,,,,,,,
ILL-SE02-SW,inputvoltage,ilL-Spec-Driver,voltage_output,,,,,,,
ILL-SE02-SW,finish,ilL-Configured-Fixture,finish,,,,,,,
ILL-SE02-SW,mounting,ilL-Configured-Fixture,mounting_method,,,,,,,
ILL-SE02-SW,lens,ilL-Configured-Fixture,lens_appearance,,,,,,,
ILL-SE02-SW,cri,ilL-Rel-Tape Offering,cri,,,,,,,
ILL-SE02-SW,cct,ilL-Rel-Tape Offering,cct,,,,,,,
ILL-SE02-SW,maxrunlength,ilL-Configured-Fixture,max_run_ft_effective,,ft,,,,,
ILL-SE02-SW,wattage,ilL-Configured-Fixture,total_watts,,W,,,,,
ILL-SE02-SW,output,ilL-Configured-Fixture,estimated_delivered_output,,lm/ft,,,,,
ILL-SE02-TW,form,ilL-Configured-Fixture,sku_driver_form_code,,,,,,,
ILL-SE02-TW,maxwattoutput,ilL-Configured-Fixture,sku_driver_wattage_output_code,,,,,,,
ILL-SE02-TW,control,ilL-Configured-Fixture,sku_driver_control_code,,,,,,,
ILL-SE02-TW,endlength,ilL-Configured-Fixture,__end_length_indicator,,,MM_TO_INCHES,end_feed_length_ft,,,
ILL-SE02-TW,startlength,ilL-Configured-Fixture,__start_leader_cable_len_mm,,,MM_TO_INCHES,start_feed_length_ft,,,
ILL-SE02-TW,starttype,ilL-Configured-Fixture,sku_power_feed_code,,,,start_feed_direction,,,
ILL-SE02-TW,outputcode,ilL-Configured-Fixture,sku_fixture_output_code,,,,,,,
ILL-SE02-TW,mountingcode,ilL-Configured-Fixture,sku_mounting_code,,,,,,,
ILL-SE02-TW,lenscode,ilL-Configured-Fixture,sku_lens_code,,,,,,,
ILL-SE02-TW,length,ilL-Configured-Fixture,requested_overall_length_mm,,,MM_TO_INCHES,,,,
ILL-SE02-TW,finishcode,ilL-Configured-Fixture,sku_finish_code,,,,,,,
ILL-SE02-TW,endtype,ilL-Configured-Fixture,sku_feed_direction_end_code,,,,end_feed_direction,,,
ILL-SE02-TW,cctcode,ilL-Configured-Fixture,sku_cct_code,,,,,,,
ILL-SE02-TW,drywetcode,ilL-Configured-Fixture,sku_environment_code,,,,,,,
ILL-SE02-TW,project_location,ilL-Project,location,,,,project_location,,,
ILL-SE02-TW,fixture_type,ilL-Child-Fixture-Schedule-Line,line_id,,,,,,,
ILL-SE02-TW,project_name,ilL-Project,project_name,,,,project_name,,,
ILL-SE02-TW,productioninterval,ilL-Spec-LED Tape,cut_increment_mm,,"""""",MM_TO_INCHES,,,,
ILL-SE02-TW,dims,ilL-Spec-Profile,dimensions,,,,,,,
ILL-SE02-TW,dimming,ilL-Spec-Driver,input_protocols,,,,,,,
ILL-SE02-TW,inputvoltage,ilL-Spec-Driver,voltage_output,,,,,,,
ILL-SE02-TW,finish,ilL-Configured-Fixture,finish,,,,,,,
ILL-SE02-TW,mounting,ilL-Configured-Fixture,mounting_method,,,,,,,
ILL-SE02-TW,lens,ilL-Configured-Fixture,lens_appearance,,,,,,,
ILL-SE02-TW,cri,ilL-Rel-Tape Offering,cri,,,,,,,
ILL-SE02-TW,cct,ilL-Rel-Tape Offering,cct,,,,,,,
ILL-SE02-TW,maxrunlength,ilL-Configured-Fixture,max_run_ft_effective,,ft,,,,,
ILL-SE02-TW,wattage,ilL-Configured-Fixture,total_watts,,W,,,,,
ILL-SE02-TW,output,ilL-Configured-Fixture,estimated_delivered_output,,lm/ft,,,,,
